[P] (12) Алг і Гео,38100,1,0,10,35
Перерва,43800,1,0,12,10
[L] ВДУС,55800,1,0,15,30
[L] Прога,61200,1,0,17,0
Кінець дня,66600,1,0,18,30
[P] (302) Дискретка,130800,1,1,12,20
Перерва,136500,1,1,13,55
[L] Матан,142200,1,1,15,30
Кінець дня,147600,1,1,17,0
[P] (222) Прога,204000,1,2,8,40
Перерва,209700,1,2,10,15
[L] Алг і Гео,228600,1,2,15,30
[L] Матан,234000,1,2,17,0
Кінець дня,239400,1,2,18,30
[P] (16) Матан,297300,1,3,10,35
Перерва,303000,1,3,12,10
[P] (15) English,303600,1,3,12,20
Перерва,309300,1,3,13,55
[L] Дискретка,315000,1,3,15,30
Кінець дня,318600,1,3,16,30
[P] (15) English,383700,1,4,10,35
Перерва,389400,1,4,12,10
[P] (15) English,390000,1,4,12,20
Кінець дня,395700,1,4,13,55
